"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"¤H",0.00185371263850688,0.00374819256660577,0.00201205059304601,0.00113956847747739,0.00263875487612592,0.00381431392046638,0.00513715045033025,0,0.000658339662346344,0.00531015414247196,0.000362940355002663,0.00234984010866688,0.00363349994229529,0.00160562640841577,0.00731654761107642,0.00162589946912809,0,0.00186895846088454,0.00500007793731865,0.00734436718374211,0.00129809715680388,0.00168548740778724,0.00195107936295371,0.0040750391757894,0.00403039868403584,0.00554365723053268,0,0.00212143719859876,0.00065968871903148,0.00488592386844226,0.00395003797407807,0.00169435839414401,0.00796619739895948,0.000955276245956565,0.00653856345649362,0.0118138750417381,0.00157229838772827,0.00147673438021726,0.00196697410318144,0.00136410209698035,0.0016921319047956,0.00116219528840203,0.00559874947630195,0,0,0.0018501614648699,0,0,0.00206364163389335,0.000579007364905328,0.00205049741966473,0,0.00133580122359901,0.00128599771592821,0.00209725143249096,0.00207361091714887,0.0052346031689002,0.00211794799268002,0.00127580486745322,0,0.000978504847681952,0.00277866419754813,0,0.00196058523073911,0.0027633312865868,0.000740064585947959,0.00239351743410678,0,0.00116010124283734,0.000390215872590742,0,0.000504589490419063,0.00101554604065414,0,0.00113956847747739,0,0,0.00159765803914324,0.00147673438021726,0.000953861021888481,0,0.0037003229297398,0.00158846099451001,0.00331884633904497,0,0,0.00253486688887687,0.00178254759073844,0.00314587714873644,0.00150433689199702,0.00316003037926245,0,0.00052431285812274,0.0032139244081933,0.000596163138680301,0,0.0012217385005213,0.000682051048490174,0.00114974319602629,0.000975539681476856
"¤O",0.00525329288707525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565488759125249,0.00397237386671438,0,0,0,0,0,0,0,0,0,0.00450900427374993,0,0,0,0,0.0039839382738955,0.00406077981330298,0,0,0.00334183833231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514467216948535,0,0,0,0,0,0,0,0,0,0,0.00986293907807642,0.0033175340535348,0,0.00428991472439844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606193930047886,0,0,0.00335823999284197,0,0,0,0.00506845480401149,0,0.00519348310088464,0,0,0
"¤O³õ",0.0127521232049419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¤S",0.0027375003923679,0.00184506818166064,0,0.00252431452110385,0,0.00168985510002805,0.00284488903807914,0.0021942118529595,0,0.00294069629778078,0.00401983569454249,0,0.00321949820411665,0.0017783512523986,0.00540241554705938,0.00360161036470626,0.00147338605828892,0,0.000851993849715458,0,0,0.00186680327804146,0.00432193243764751,0,0.00334797583198046,0.00350857983868063,0.00129188197864463,0,0,0,0,0,0.0031140561231958,0.00105803984007691,0.000851993849715458,0,0.000870718989269644,0.00163559369773357,0.00145238055440293,0.00604338010349016,0.00281124383263537,0,0.00155025837437356,0.00202303220485628,0,0.00163935368324561,0.00478603256518012,0,0,0,0.00454215829434292,0,0,0,0.00464572542157549,0.00114833953657301,0,0.000670224485161502,0.00471016414935164,0.00254685304361371,0,0.000879308079176126,0,0.000868597871147184,0.00306059593223965,0,0,0,0.00256979766562825,0.000864386487529501,0.00631078630275963,0,0,0,0.00126215726055193,0.0109710592647975,0,0.00265428853180585,0.00245339054660036,0.00105647237364717,0.0114404093937728,0.00409838420811401,0,0,0.00379318538410552,0,0,0,0,0.0166616554255102,0.00174998491340328,0.00282983671512634,0.00232286271078775,0.00118655383063534,0.00132059046705896,0.00178057141625927,0,0.00302169005174508,0.000848951014537903,0.00432193243764751
"¤U·Æ",0.00611213929201042,0.00411956606874182,0,0.00563614968342908,0,0,0,0,0.0065121156873976,0,0,0,0,0.0079412084068265,0,0,0,0,0,0,0,0.00416809498839977,0,0,0,0,0,0,0,0,0,0,0,0,0.00380456938009251,0,0.00777637257909018,0,0,0,0,0.00574805879266684,0,0,0,0,0,0,0,0,0.0202829590518307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379098163230646,0
"¤W­z",0.0056495517689705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053322762167276,0,0.00603159113039679,0,0,0,0,0,0.00351662660888128,0,0,0,0,0,0,0,0,0,0,0.00338323732371682,0,0,0,0,0,0,0,0,0,0,0,0,0.007776529647645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464261273128333,0,0.00520958667545776,0,0,0,0.00675095521016888,0.00436061699501279,0,0,0,0,0,0,0,0,0,0,0.0036115539529247,0.0116802240937843,0,0,0.00545077124376599,0,0,0,0,0
"¤Z",0.00970996869300109,0,0,0.00895379413991782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236396901357643,0,0,0,0,0,0,0,0,0,0
"¤j",0.00165546348608458,0.00111577810640371,0.00134765074414073,0,0.00706964324795135,0.00408766102488183,0,0.00398075296730799,0.00176379647494901,0,0.000972374832299961,0,0,0,0,0,0.00356403502582672,0,0.00103046173984476,0,0,0,0.00522725137121252,0,0,0.00106088127460033,0.00156249361639505,0,0.00176741081198784,0.00145446286045542,0.00529138942484703,0,0.00251090677219815,0.00127966836238882,0.00206092347968952,0,0,0.000989101463589524,0,0.00182732304290268,0.00113337250492781,0,0.00937496169837027,0.00122339925709229,0,0,0.00578856695469842,0,0,0.00155125265512602,0,0.00323638452626666,0.00357882355290483,0,0,0.00138888321457337,0,0.000810616988956828,0.00113936126321013,0,0,0.001063497504624,0.0115512920926348,0.00210108764007324,0.00370170161480715,0,0.00106876886772003,0.017968676588543,0.00155404770495507,0,0,0.00135187535462393,0,0,0,0,0.00157103183287808,0.00321028465105483,0,0.00255554511481501,0.0046122806216581,0,0.00141857973067445,0.0053350297500004,0,0,0,0.00286543679817297,0.00280943477605884,0.00403035736565451,0.00105827788496941,0.0171130253224219,0,0,0.00159721569675938,0,0.00163661570445933,0.00365464608580536,0.00102678151934532,0.00784087705681877
"¤j®a",0.00221113837513445,0,0.00180000483350789,0,0,0,0.00153191900724076,0,0.00235583454692239,0,0,0,0.00520091690042912,0.00861847700831708,0.0087272961624625,0,0,0,0,0,0,0.00452357235645962,0,0,0,0.00283395594943432,0.00208696212580625,0.00379572683177941,0,0.00388533926962917,0.0141350072815344,0,0,0.00341840680547493,0,0,0.00140659718369359,0.00132110446495992,0,0.0073220535600321,0,0,0.0075130636529025,0.00490214082317043,0.0177231245145392,0.00132414148671845,0,0.00322689942141471,0.0516924465007394,0,0,0,0.00956019164684689,0.00153395884613189,0.00375245307311091,0.00185507744516111,0.00936587880849634,0.0173233547886474,0.0045654019555286,0,0.00350152915940745,0,0.00514287095287969,0.00420951191271029,0,0,0.00428253938083662,0,0,0,0,0,0,0.0295385408575654,0,0.0177231245145392,0.00419673258085628,0,0,0,0,0,0,0,0.0122553520579261,0,0,0.00255150186809535,0.00375245307311091,0,0.00141350072815344,0,0,0.0095840523581119,0,0.00431461832750955,0,0,0.0027428645082025,0.003490918464985
"¤j±N¤§­·",0.0127521232049419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
